Nome,Empresa,Numero,Email
"Sócio-Diretor","Industrial Marvi Ltda.","+551433024411","contato@marvi.com.br / financeiro@marvi.com.br"
"Sócio-Diretor","Minasmáquinas S/A","+553133691313","contato@minasmaquinas.com.br / financeiro@minasmaquinas.com.br"
"Sócio-Diretor","Pastifício Selmi (Renata / Galo)","+551938738400","sac@selmi.com.br / financeiro@selmi.com.br"
"Sócio-Diretor","Frigorífico Astra (Astra Foods)","+554436768100","astra@astrafoods.com.br / financeiro@astrafoods.com.br"
"Sócio-Diretor","Laticínios Scala (Scalon & Cerchi)","+553433518000","sac@scala.com.br / financeiro@scala.com.br"
"Sócio-Diretor","Cardioprime Diagnósticos Médicos S/S","+551132809000","diretoria@cardioprime.med.br / financeiro@cardioprime.med.br"
"Sócio-Diretor","Instituto de Ortopedia e Coluna (SP)","+551133001100","diretoria@institutodeo.com.br / financeiro@institutodeo.com.br"
"Sócio-Diretor","Biscoitos & Doces Nobres Jaú","+551137001500","diretoria@biscoitosdoc.com.br / financeiro@biscoitosdoc.com.br"
"Sócio-Diretor","Eletromecânica Força Industrial Londrina","+554138001600","diretoria@eletromecnic.com.br / financeiro@eletromecnic.com.br"
"Sócio-Diretor","AgroGrãos Comercial e Armazenagem Campo Grande","+556739001700","diretoria@agrogroscome.com.br / financeiro@agrogroscome.com.br"
"Sócio-Diretor","Agroexport Trading de Grãos e Café Varginha","+553132001800","diretoria@agroexporttr.com.br / financeiro@agroexporttr.com.br"
"Sócio-Diretor","MegaLog Armazenagem e Distribuição Bauru","+551133001900","diretoria@megalogarmaz.com.br / financeiro@megalogarmaz.com.br"
"Sócio-Diretor","Clínica de Especialidades Cardiovasculares Campinas","+551134002000","diretoria@clnicadeespe.com.br / financeiro@clnicadeespe.com.br"
"Sócio-Diretor","Indústria de Condimentos e Molhos Saborear Limeira","+551138002400","diretoria@indstriadeco.com.br / financeiro@indstriadeco.com.br"
"Sócio-Diretor","Fundição & Usinagem Paulista Sertãozinho","+551139002500","diretoria@fundiousinag.com.br / financeiro@fundiousinag.com.br"
"Sócio-Diretor","Sementes Ouro Verde Londrina","+554132002600","diretoria@sementesouro.com.br / financeiro@sementesouro.com.br"
"Sócio-Diretor","Brasil Nobre Carnes e Exportação Campo Grande","+556733002700","diretoria@brasilnobrec.com.br / financeiro@brasilnobrec.com.br"
"Sócio-Diretor","Atacado Central de Suprimentos Campinas","+551134002800","diretoria@atacadocentr.com.br / financeiro@atacadocentr.com.br"
"Sócio-Diretor","FemmePrime Medicina Fetal e Ginecológica Sorocaba","+551135002900","diretoria@femmeprimeme.com.br / financeiro@femmeprimeme.com.br"
"Sócio-Diretor","Moinho Central de Cereais e Farinhas Maringá","+554139003300","diretoria@moinhocentra.com.br / financeiro@moinhocentra.com.br"
"Sócio-Diretor","Estruturas Metálicas Vanguarda Contagem","+553132003400","diretoria@estruturasme.com.br / financeiro@estruturasme.com.br"
"Sócio-Diretor","Cerealista São Bento Grãos Maringá","+554133003500","diretoria@cerealistaso.com.br / financeiro@cerealistaso.com.br"
"Sócio-Diretor","CerealExport Operações Internacionais Itajaí","+554834003600","diretoria@cerealexport.com.br / financeiro@cerealexport.com.br"
"Sócio-Diretor","Transpesados Concessionária e Frotas Bauru","+551135003700","diretoria@transpesados.com.br / financeiro@transpesados.com.br"
"Sócio-Diretor","NeuroCenter Diagnósticos Neurológicos São José dos Campos","+551136003800","diretoria@neurocenterd.com.br / financeiro@neurocenterd.com.br"
"Sócio-Diretor","Laticínios Ouro Branco Contagem","+553132004200","diretoria@laticniosour.com.br / financeiro@laticniosour.com.br"
"Sócio-Diretor","Caldeiraria & Equipamentos Vale Bauru","+551133004300","diretoria@caldeirariae.com.br / financeiro@caldeirariae.com.br"
"Sócio-Diretor","Campo Forte Distribuidora de Insumos Barretos","+551134004400","diretoria@campofortedi.com.br / financeiro@campofortedi.com.br"
"Sócio-Diretor","GlobalTrade Exportação de Alimentos Santos","+551135004500","diretoria@globaltradee.com.br / financeiro@globaltradee.com.br"
"Sócio-Diretor","Comercial e Logística Express Campinas","+551136004600","diretoria@comercialelo.com.br / financeiro@comercialelo.com.br"
"Sócio-Diretor","ClinGastro Cirurgia e Endoscopia Uberlândia","+553137004700","diretoria@clingastroci.com.br / financeiro@clingastroci.com.br"
"Sócio-Diretor","Massas Tradicionais da Serra Matão","+551133005100","diretoria@massastradic.com.br / financeiro@massastradic.com.br"
"Sócio-Diretor","Metalúrgica União e Componentes Piracicaba","+551134005200","diretoria@metalrgicaun.com.br / financeiro@metalrgicaun.com.br"
"Sócio-Diretor","Fertilmax Adubos e Nutrição Vegetal Dourados","+556735005300","diretoria@fertilmaxadu.com.br / financeiro@fertilmaxadu.com.br"
"Sócio-Diretor","Sul Export Madeiras e Derivados Paranaguá","+554136005400","diretoria@sulexportmad.com.br / financeiro@sulexportmad.com.br"
"Sócio-Diretor","Distribuidora de Alimentos & Bebidas Planalto Bauru","+551137005500","diretoria@distribuidor.com.br / financeiro@distribuidor.com.br"
"Sócio-Diretor","Instituto de Urologia e Litotripsia (PR)","+554138005600","diretoria@institutodeu.com.br / financeiro@institutodeu.com.br"
"Sócio-Diretor","Conservas & Alimentos do Interior Marília","+551134006000","diretoria@conservasali.com.br / financeiro@conservasali.com.br"
"Sócio-Diretor","Implementos Agrícolas Progresso Cascavel","+554135006100","diretoria@implementosa.com.br / financeiro@implementosa.com.br"
"Sócio-Diretor","Agropecuária & Barter Sul Rondonópolis","+556536006200","diretoria@agropecuriab.com.br / financeiro@agropecuriab.com.br"
"Sócio-Diretor","Interquímica Exportação e Insumos São Paulo","+551137006300","diretoria@interqumicae.com.br / financeiro@interqumicae.com.br"
"Sócio-Diretor","MegaLog Armazenagem e Distribuição Campinas","+551138006400","diretoria@megalogarmaz.com.br / financeiro@megalogarmaz.com.br"
"Sócio-Diretor","Clínica Integrada de Oncologia e Infusão Santos","+551139006500","diretoria@clnicaintegr.com.br / financeiro@clnicaintegr.com.br"
"Sócio-Diretor","Doces & Geleias Vale Verde Bauru","+551135006900","diretoria@docesgeleias.com.br / financeiro@docesgeleias.com.br"
"Sócio-Diretor","Máquinas Industriais Líder Ribeirão Preto","+551136007000","diretoria@mquinasindus.com.br / financeiro@mquinasindus.com.br"
"Sócio-Diretor","Bioinsumos & Fertilizantes do Campo Rio Verde","+556237007100","diretoria@bioinsumosfe.com.br / financeiro@bioinsumosfe.com.br"
"Sócio-Diretor","Porto Trade Logística de Comércio Exterior Patrocínio","+553138007200","diretoria@portotradelo.com.br / financeiro@portotradelo.com.br"
"Sócio-Diretor","Atacado Central de Suprimentos Bauru","+551139007300","diretoria@atacadocentr.com.br / financeiro@atacadocentr.com.br"
"Sócio-Diretor","Centro Oftalmológico Integrado Ribeirão Preto","+551132007400","diretoria@centrooftalm.com.br / financeiro@centrooftalm.com.br"
"Sócio-Diretor","Alimentos Selecionados Paulista Araraquara","+551136007800","diretoria@alimentossel.com.br / financeiro@alimentossel.com.br"
"Sócio-Diretor","Eletromecânica Força Industrial Londrina","+554137007900","diretoria@eletromecnic.com.br / financeiro@eletromecnic.com.br"
"Sócio-Diretor","AgroGrãos Comercial e Armazenagem Uberaba","+553138008000","diretoria@agrogroscome.com.br / financeiro@agrogroscome.com.br"
"Sócio-Diretor","Agroexport Trading de Grãos e Café Varginha","+553139008100","diretoria@agroexporttr.com.br / financeiro@agroexporttr.com.br"
"Sócio-Diretor","Transpesados Concessionária e Frotas Campinas","+551132008200","diretoria@transpesados.com.br / financeiro@transpesados.com.br"
"Sócio-Diretor","MedPrime Diagnósticos e Cirurgias Curitiba","+554133008300","diretoria@medprimediag.com.br / financeiro@medprimediag.com.br"
"Sócio-Diretor","Bebidas & Refrigerantes Tropical Ponta Grossa","+554137008700","diretoria@bebidasrefri.com.br / financeiro@bebidasrefri.com.br"
"Sócio-Diretor","Fundição & Usinagem Paulista Sertãozinho","+551138008800","diretoria@fundiousinag.com.br / financeiro@fundiousinag.com.br"
"Sócio-Diretor","Sementes Ouro Verde Campo Grande","+556739008900","diretoria@sementesouro.com.br / financeiro@sementesouro.com.br"
"Sócio-Diretor","Brasil Nobre Carnes e Exportação Campo Grande","+556732009000","diretoria@brasilnobrec.com.br / financeiro@brasilnobrec.com.br"
"Sócio-Diretor","Comercial e Logística Express Bauru","+551133009100","diretoria@comercialelo.com.br / financeiro@comercialelo.com.br"
"Sócio-Diretor","Centro de Medicina Diagnóstica Avançada Belo Horizonte","+553134009200","diretoria@centrodemedi.com.br / financeiro@centrodemedi.com.br"
"Sócio-Diretor","Frigorífico e Embutidos Real Pouso Alegre","+553138009600","diretoria@frigorficoee.com.br / financeiro@frigorficoee.com.br"
"Sócio-Diretor","Estruturas Metálicas Vanguarda Contagem","+553139009700","diretoria@estruturasme.com.br / financeiro@estruturasme.com.br"
"Sócio-Diretor","Cerealista São Bento Grãos Londrina","+554132009800","diretoria@cerealistaso.com.br / financeiro@cerealistaso.com.br"
"Sócio-Diretor","CerealExport Operações Internacionais Itajaí","+554833001000","diretoria@cerealexport.com.br / financeiro@cerealexport.com.br"
"Sócio-Diretor","Distribuidora de Alimentos & Bebidas Planalto Campinas","+551134001100","diretoria@distribuidor.com.br / financeiro@distribuidor.com.br"
"Sócio-Diretor","Instituto de Ortopedia e Coluna (SP)","+551135001200","diretoria@institutodeo.com.br / financeiro@institutodeo.com.br"
"Sócio-Diretor","Biscoitos & Doces Nobres Jaú","+551139001600","diretoria@biscoitosdoc.com.br / financeiro@biscoitosdoc.com.br"
"Sócio-Diretor","Caldeiraria & Equipamentos Vale Bauru","+551132001700","diretoria@caldeirariae.com.br / financeiro@caldeirariae.com.br"
"Sócio-Diretor","Campo Forte Distribuidora de Insumos Maringá","+554133001800","diretoria@campofortedi.com.br / financeiro@campofortedi.com.br"
"Sócio-Diretor","GlobalTrade Exportação de Alimentos Santos","+551134001900","diretoria@globaltradee.com.br / financeiro@globaltradee.com.br"
"Sócio-Diretor","MegaLog Armazenagem e Distribuição Bauru","+551135002000","diretoria@megalogarmaz.com.br / financeiro@megalogarmaz.com.br"
"Sócio-Diretor","Clínica de Especialidades Cardiovasculares Campinas","+551136002100","diretoria@clnicadeespe.com.br / financeiro@clnicadeespe.com.br"
"Sócio-Diretor","Instituto de Cirurgia e Videolaparoscopia Paulista","+551132847700","diretoria@cirurgiavideopaulista.med.br"
"Sócio-Diretor","Centro Oftalmológico de Alta Precisão","+551933428810","contato@oftalmologiaprecisao.med.br"
"Sócio-Diretor","Orthoprime Instituto de Coluna e Articulações","+554130916200","diretoria@orthoprimecuritiba.med.br"
"Sócio-Diretor","Centro Oncológico e Hematologia Integrada","+553132904400","financeiro@oncohemaintegrada.med.br"
"Sócio-Diretor","Dermalaser Clínica Médica e Cirúrgica","+551636201900","contato@dermalaserribeirao.med.br"
"Sócio-Diretor","Instituto Urológico do Interior Paulista","+551239418000","diretoria@urointeriorpaulista.med.br"
"Sócio-Diretor","Neuroclin Centro Diagnóstico Neurológico","+554333719500","contato@neuroclinlondrina.med.br"
"Sócio-Diretor","Maternaprime Centro de Medicina Reprodutiva","+553432306100","financeiro@maternaprime.med.br"
"Sócio-Diretor","Agrometal Implementos Industriais e Agrícolas","+551934128800","diretoria@agrometalimplementos.ind.br"
"Sócio-Diretor","Caldeiraria Vanguarda Equipamentos Industriais","+551639467200","contato@caldeirariavanguarda.ind.br"
"Sócio-Diretor","Usinagem de Precisão Componentes Mecânicos e Estamparia","+551239316500","vendas@usiprecisaocomponentes.ind.br"
"Sócio-Diretor","Fundição & Metalurgia Paulista","+551934049000","diretoria@fundicaopaulista.ind.br"
"Sócio-Diretor","Aço Forte Engenharia e Estruturas Metálicas","+554232294100","financeiro@acoforteengenharia.ind.br"
"Sócio-Diretor","Hidropneumática Força Industrial","+553133987500","comercial@hidropneumaticaforca.ind.br"
"Sócio-Diretor","Laticínios Vale Nobre & Derivados","+553534218800","diretoria@laticiniosvalenobre.ind.br"
"Sócio-Diretor","Moinho Paulista de Cereais e Farinhas","+551633014500","suprimentos@moinhopaulista.ind.br"
"Sócio-Diretor","Massas Tradicionais da Serra","+554133609200","contato@massasdaserra.ind.br"
"Sócio-Diretor","Conservas & Alimentos do Interior","+551434026000","financeiro@conservasdointerior.ind.br"
"Sócio-Diretor","Frigorífico & Charcutaria Vale Verde","+554532207100","diretoria@valeverdeembutidos.ind.br"
"Sócio-Diretor","Sucos & Bebidas Naturais da Terra","+551633839400","comercial@sucosdaterra.ind.br"
"Sócio-Diretor","AgroGrãos Comercial e Armazenagem","+554430328500","originacao@agrograosmaringa.com.br"
"Sócio-Diretor","Fertilmax Nutrição Vegetal e Fertilizantes","+551733217000","comercial@fertilmaxnutricao.com.br"
"Sócio-Diretor","Sementes Ouro Verde do Cerrado","+556734119200","financeiro@sementesouroverdems.com.br"
"Sócio-Diretor","Bioinsumos & Nutrição do Campo","+556436208000","barter@bioinsumosdocampo.com.br"
"Sócio-Diretor","Cerealista São Bento Armazéns Gerais","+553433196600","diretoria@cerealistasaobento.com.br"
"Sócio-Diretor","Campo Forte Agropecuária e Distribuição","+554333419000","contato@campofortedistribuidora.com.br"
"Sócio-Diretor","Agroexport Trading de Café e Grãos","+553532198400","trading@agroexporttrading.com.br"
"Sócio-Diretor","Porto Trade Logística de Comércio Exterior","+551332289100","diretoria@portotradesantos.com.br"
"Sócio-Diretor","Sul Export Madeiras e Derivados para Exportação","+554733418000","export@sulexportmadeiras.com.br"
"Sócio-Diretor","Brasil Nobre Carnes e Exportação Internacional","+551131685500","comex@brasilnobrecarnes.com.br"
"Sócio-Diretor","Interquímica Operações Internacionais e Insumos","+554134207700","cambio@interquimicaoperacoes.com.br"
"Sócio-Diretor","Distribuidora de Alimentos & Bebidas Planalto","+551937468100","diretoria@distribuidoraplanalto.com.br"
"Sócio-Diretor","Transpesados Concessionária e Frotas Comerciais","+553133699000","frotas@transpesadosfrotas.com.br"
"Sócio-Diretor","Clínica Paulista de Cirurgia Bariátrica e Metabólica S/S","+551132894000","diretoria@bariatricapaulista.med.br / financeiro@bariatricapaulista.med.br"
"Sócio-Diretor","Instituto Paranaense de Retina e Vítreo S/S","+554133208500","contato@retinaparana.med.br / financeiro@retinaparana.med.br"
"Sócio-Diretor","Sociedade de Advogados Associados Limeira","+551132008000","diretoria@frigorficoecortesespeciaisboinobrelimeira.com.br / financeiro@frigorficoecortesespeciaisboinobrelimeira.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Passos","+553132118000","diretoria@conservasevegetaisselecionadospassos.com.br / financeiro@conservasevegetaisselecionadospassos.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados São José dos Pinhais","+554132228000","diretoria@laticniosourobrancosojosdospinhais.com.br / financeiro@laticniosourobrancosojosdospinhais.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Criciúma","+554832338000","diretoria@moinhodetrigoefarinhasnobrescricima.com.br / financeiro@moinhodetrigoefarinhasnobrescricima.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Três Lagoas","+556732448000","diretoria@frigorficoecortesespeciaisboinobretrslagoas.com.br / financeiro@frigorficoecortesespeciaisboinobretrslagoas.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Goiânia","+556232558000","diretoria@conservasevegetaisselecionadosgoinia.com.br / financeiro@conservasevegetaisselecionadosgoinia.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Piracicaba","+551132668000","diretoria@laticniosourobrancopiracicaba.com.br / financeiro@laticniosourobrancopiracicaba.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Pouso Alegre","+553132778000","diretoria@moinhodetrigoefarinhasnobrespousoalegre.com.br / financeiro@moinhodetrigoefarinhasnobrespousoalegre.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Ponta Grossa","+554132888000","diretoria@frigorficoecortesespeciaisboinobrepontagrossa.com.br / financeiro@frigorficoecortesespeciaisboinobrepontagrossa.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Itajaí","+554832998000","diretoria@conservasevegetaisselecionadositaja.com.br / financeiro@conservasevegetaisselecionadositaja.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Campo Grande","+556733108000","diretoria@agrogrossilosearmazenagemcampogrande.com.br / financeiro@agrogrossilosearmazenagemcampogrande.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Rio Verde","+556233218000","diretoria@fertilizantesenutriofoliardocamporioverde.com.br / financeiro@fertilizantesenutriofoliardocamporioverde.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Ribeirão Preto","+551133328000","diretoria@sementescertificadassojaemilhoribeiropreto.com.br / financeiro@sementescertificadassojaemilhoribeiropreto.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Uberlândia","+553133438000","diretoria@bioinsumosecontrolebiolgicoagrcolauberlndia.com.br / financeiro@bioinsumosecontrolebiolgicoagrcolauberlndia.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Maringá","+554133548000","diretoria@agrogrossilosearmazenagemmaring.com.br / financeiro@agrogrossilosearmazenagemmaring.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Chapecó","+554833658000","diretoria@fertilizantesenutriofoliardocampochapec.com.br / financeiro@fertilizantesenutriofoliardocampochapec.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Três Lagoas","+556733768000","diretoria@sementescertificadassojaemilhotrslagoas.com.br / financeiro@sementescertificadassojaemilhotrslagoas.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Anápolis","+556233878000","diretoria@bioinsumosecontrolebiolgicoagrcolaanpolis.com.br / financeiro@bioinsumosecontrolebiolgicoagrcolaanpolis.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Limeira","+551133988000","diretoria@agrogrossilosearmazenagemlimeira.com.br / financeiro@agrogrossilosearmazenagemlimeira.com.br"
"Sócio-Diretor","Sociedade de Advogados Associados Contagem","+553134098000","diretoria@fertilizantesenutriofoliardocampocontagem.com.br / financeiro@fertilizantesenutriofoliardocampocontagem.com.br"
"Sócio-Diretor","Frigorífico e Cortes Especiais Boi Nobre Limeira","+551135008000","diretoria@frigorficoecortesespeciaisboinobrelimeira.com.br / financeiro@frigorficoecortesespeciaisboinobrelimeira.com.br"
"Sócio-Diretor","Conservas e Vegetais Selecionados Passos","+553135118000","diretoria@conservasevegetaisselecionadospassos.com.br / financeiro@conservasevegetaisselecionadospassos.com.br"
"Sócio-Diretor","Laticínios Ouro Branco São José dos Pinhais","+554135228000","diretoria@laticniosourobrancosojosdospinhais.com.br / financeiro@laticniosourobrancosojosdospinhais.com.br"
"Sócio-Diretor","Moinho de Trigo e Farinhas Nobres Criciúma","+554835338000","diretoria@moinhodetrigoefarinhasnobrescricima.com.br / financeiro@moinhodetrigoefarinhasnobrescricima.com.br"
"Sócio-Diretor","Frigorífico e Cortes Especiais Boi Nobre Três Lagoas","+556735448000","diretoria@frigorficoecortesespeciaisboinobretrslagoas.com.br / financeiro@frigorficoecortesespeciaisboinobretrslagoas.com.br"
"Sócio-Diretor","Conservas e Vegetais Selecionados Goiânia","+556235558000","diretoria@conservasevegetaisselecionadosgoinia.com.br / financeiro@conservasevegetaisselecionadosgoinia.com.br"
"Sócio-Diretor","Laticínios Ouro Branco Piracicaba","+551135668000","diretoria@laticniosourobrancopiracicaba.com.br / financeiro@laticniosourobrancopiracicaba.com.br"
"Sócio-Diretor","Moinho de Trigo e Farinhas Nobres Pouso Alegre","+553135778000","diretoria@moinhodetrigoefarinhasnobrespousoalegre.com.br / financeiro@moinhodetrigoefarinhasnobrespousoalegre.com.br"
"Sócio-Diretor","Frigorífico e Cortes Especiais Boi Nobre Ponta Grossa","+554135888000","diretoria@frigorficoecortesespeciaisboinobrepontagrossa.com.br / financeiro@frigorficoecortesespeciaisboinobrepontagrossa.com.br"
"Sócio-Diretor","Conservas e Vegetais Selecionados Itajaí","+554835998000","diretoria@conservasevegetaisselecionadositaja.com.br / financeiro@conservasevegetaisselecionadositaja.com.br"
"Sócio-Diretor","Agrogrãos Silos e Armazenagem Campo Grande","+556736108000","diretoria@agrogrossilosearmazenagemcampogrande.com.br / financeiro@agrogrossilosearmazenagemcampogrande.com.br"
"Sócio-Diretor","Fertilizantes e Nutrição Foliar do Campo Rio Verde","+556236218000","diretoria@fertilizantesenutriofoliardocamporioverde.com.br / financeiro@fertilizantesenutriofoliardocamporioverde.com.br"
"Sócio-Diretor","Sementes Certificadas Soja e Milho Ribeirão Preto","+551136328000","diretoria@sementescertificadassojaemilhoribeiropreto.com.br / financeiro@sementescertificadassojaemilhoribeiropreto.com.br"
"Sócio-Diretor","Bioinsumos e Controle Biológico Agrícola Uberlândia","+553136438000","diretoria@bioinsumosecontrolebiolgicoagrcolauberlndia.com.br / financeiro@bioinsumosecontrolebiolgicoagrcolauberlndia.com.br"
"Sócio-Diretor","Agrogrãos Silos e Armazenagem Maringá","+554136548000","diretoria@agrogrossilosearmazenagemmaring.com.br / financeiro@agrogrossilosearmazenagemmaring.com.br"
"Sócio-Diretor","Fertilizantes e Nutrição Foliar do Campo Chapecó","+554836658000","diretoria@fertilizantesenutriofoliardocampochapec.com.br / financeiro@fertilizantesenutriofoliardocampochapec.com.br"
"Sócio-Diretor","Sementes Certificadas Soja e Milho Três Lagoas","+556736768000","diretoria@sementescertificadassojaemilhotrslagoas.com.br / financeiro@sementescertificadassojaemilhotrslagoas.com.br"
"Sócio-Diretor","Bioinsumos e Controle Biológico Agrícola Anápolis","+556236878000","diretoria@bioinsumosecontrolebiolgicoagrcolaanpolis.com.br / financeiro@bioinsumosecontrolebiolgicoagrcolaanpolis.com.br"
"Sócio-Diretor","Agrogrãos Silos e Armazenagem Limeira","+551136988000","diretoria@agrogrossilosearmazenagemlimeira.com.br / financeiro@agrogrossilosearmazenagemlimeira.com.br"
"Sócio-Diretor","Fertilizantes e Nutrição Foliar do Campo Contagem","+553137098000","diretoria@fertilizantesenutriofoliardocampocontagem.com.br / financeiro@fertilizantesenutriofoliardocampocontagem.com.br"
"Sócio-Diretor","Exportação de Commodities e Grãos Londrina","+554137208000","diretoria@exportaodecommoditiesegroslondrina.com.br / financeiro@exportaodecommoditiesegroslondrina.com.br"
"Sócio-Diretor","Importação de Matérias-Primas Químicas Blumenau","+554837318000","diretoria@importaodematriasprimasqumicasblumenau.com.br / financeiro@importaodematriasprimasqumicasblumenau.com.br"
"Sócio-Diretor","Comércio Exterior e Despacho Aduaneiro Campo Grande","+556737428000","diretoria@comrcioexterioredespachoaduaneirocampogrande.com.br / financeiro@comrcioexterioredespachoaduaneirocampogrande.com.br"
"Sócio-Diretor","Trading de Importação e Distribuição Jataí","+556237538000","diretoria@tradingdeimportaoedistribuiojata.com.br / financeiro@tradingdeimportaoedistribuiojata.com.br"
"Sócio-Diretor","Exportação de Commodities e Grãos Piracicaba","+551137648000","diretoria@exportaodecommoditiesegrospiracicaba.com.br / financeiro@exportaodecommoditiesegrospiracicaba.com.br"
"Sócio-Diretor","Importação de Matérias-Primas Químicas Passos","+553137758000","diretoria@importaodematriasprimasqumicaspassos.com.br / financeiro@importaodematriasprimasqumicaspassos.com.br"
"Sócio-Diretor","Comércio Exterior e Despacho Aduaneiro Curitiba","+554137868000","diretoria@comrcioexterioredespachoaduaneirocuritiba.com.br / financeiro@comrcioexterioredespachoaduaneirocuritiba.com.br"
"Sócio-Diretor","Trading de Importação e Distribuição Florianópolis","+554837978000","diretoria@tradingdeimportaoedistribuioflorianpolis.com.br / financeiro@tradingdeimportaoedistribuioflorianpolis.com.br"
"Sócio-Diretor","Instituto de Oncologia Integrada e Imunoterapia São Paulo","+551133968000","diretoria@institutodeoncologiaintegradaeimunoterapiasã£opaulo.com.br / financeiro@institutodeoncologiaintegradaeimunoterapiasã£opaulo.com.br"
"Sócio-Diretor","Instituto de Cirurgia da Coluna Vertebral e Neurocirurgia Uberlândia","+553134038000","diretoria@institutodecirurgiadacolunavertebraleneurocirurgiauberlã¢ndia.com.br / financeiro@institutodecirurgiadacolunavertebraleneurocirurgiauberlã¢ndia.com.br"
"Sócio-Diretor","Instituto de Cirurgia Plástica e Reconstrução Estética Maringá","+554134108000","diretoria@institutodecirurgiaplã¡sticaereconstruã§ã£oestã©ticamaringã¡.com.br / financeiro@institutodecirurgiaplã¡sticaereconstruã§ã£oestã©ticamaringã¡.com.br"
"Sócio-Diretor","Instituto de Medicina Fetal e Genética Pré-Natal Chapecó","+554834178000","diretoria@institutodemedicinafetalegenã©ticaprã©-natalchapecã³.com.br / financeiro@institutodemedicinafetalegenã©ticaprã©-natalchapecã³.com.br"
"Sócio-Diretor","Instituto de Oftalmologia a Laser e Retina Cirúrgica Campo Grande","+556734248000","diretoria@institutodeoftalmologiaalasereretinacirãºrgicacampogrande.com.br / financeiro@institutodeoftalmologiaalasereretinacirãºrgicacampogrande.com.br"
"Sócio-Diretor","Instituto de Urologia Robótica e Litotripsia a Laser Goiânia","+556234318000","diretoria@institutodeurologiarobã³ticaelitotripsiaalasergoiã¢nia.com.br / financeiro@institutodeurologiarobã³ticaelitotripsiaalasergoiã¢nia.com.br"
"Sócio-Diretor","Instituto de Otorrinolaringologia e Cirurgia de Ouvido Jundiaí","+551134388000","diretoria@institutodeotorrinolaringologiaecirurgiadeouvidojundiaã­.com.br / financeiro@institutodeotorrinolaringologiaecirurgiadeouvidojundiaã­.com.br"
